run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T150801391895,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T150801391895,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T150801391895,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R04_read_url_routing,False,wrong_tool,missing_tool_call,fetch,clarify,False,False,False,missing tool call fetch; extra tool call clarify
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T152202231033,v1,v1+p2121ab09bf22+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T152420023512,v2,v2+p2121ab09bf22+t84a3f7ce2333,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,G01_account_timeline_limit,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,G02_social_topic_top,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,G03_web_news_month,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,G04_missing_article_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,G05_source_diversity_audit,False,wrong_tool,missing_tool_call,source_audit,fetch|fetch,False,False,False,missing tool call source_audit; extra tool call fetch; extra tool call fetch
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,GM01_correct_timeline_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,GM02_switch_social_to_web,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,GM03_url_after_clarification,True,missing_info,,fetch,fetch,True,True,True,
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,GM04_send_after_confirmation,True,wrong_boundary,missing_tool_call,send,clarify,False,False,False,missing tool call send; extra tool call clarify
v2_B_group_openrouter_20260729T152558929979,v2,v2+p2121ab09bf22+t84a3f7ce2333,group,GM05_update_audit_threshold,True,wrong_arg_value,,source_audit,source_audit,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T162648208908,v3,v3+pc0e57b1c7965+t84a3f7ce2333,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,G01_account_timeline_limit,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,G02_social_topic_top,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,G03_web_news_month,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,G04_missing_article_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,G05_source_diversity_audit,False,wrong_tool,,source_audit,source_audit,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,GM01_correct_timeline_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,GM02_switch_social_to_web,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,GM03_url_after_clarification,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,GM04_send_after_confirmation,True,wrong_boundary,,send,send,True,True,True,
v3_B_group_openrouter_20260729T162735813711,v3,v3+pc0e57b1c7965+t84a3f7ce2333,group,GM05_update_audit_threshold,True,wrong_arg_value,,source_audit,source_audit,True,True,True,
